name,company_name,location,category,level,publication_date,skills
"Manager, Equipment and Automation Engineering (Starlink)",SpaceX,"Lockhart, TX",,Senior Level,2025-12-08T18:33:25Z,['excel']
Account Executive- Swedish speaker,Celonis,"Madrid, Spain",Sales,Mid Level,2025-03-19T23:37:39Z,"['aws', 'excel']"
"Senior Product Designer, Customer Experience - Integrity",DoorDash,"New York, NY",Design and UX,Senior Level,2026-05-23T19:13:06Z,"['aws', 'excel']"
"Sr Category Manager, Japan Merchandising, Retail",Uber,"Tokyo, Japan",Business Operations,Senior Level,2026-06-11T00:12:35Z,"['sql', 'excel']"
Licensed Practical Nurse (LPN) - Sign On Bonus,The Laurels of Kent,"Caledonia, MI",,Mid Level,2026-03-17T13:37:16Z,['excel']
Financial Solutions Advisor - Orchard Lake Road - Greater Michigan Market,Bank of America,"Bloomfield Hills, MI",Account Management,Mid Level,2026-04-27T19:28:54Z,[]
Registered Nurse Registered Nurse Med/Surg Telemetry Full Time Nights,DMC Sinai-Grace Hospital,"Dearborn, MI",,Mid Level,2025-06-10T09:59:33Z,[]
Relationship Banker - Sarasota Market,Bank of America,"Sarasota, FL",,Mid Level,2025-01-17T00:02:34Z,"['aws', 'excel']"
 Senior Technical Product Manager - AvaCloud,Ava Labs,Flexible / Remote,,Senior Level,2025-11-13T23:31:35Z,[]
Optical Engineer (Starshield),SpaceX,"El Segundo, CA",Software Engineering,Mid Level,2026-04-15T18:32:30Z,"['python', 'excel']"
Nurse Care Manager (RN),Hartford HealthCare,"Ledyard, CT",,Senior Level,2025-03-09T10:29:29Z,['excel']
"Senior Specialist, Electrical Engineer",L3Harris Technologies,"Anaheim, CA",,Senior Level,2026-03-17T13:37:20Z,['aws']
Service Delivery Manager,Clean Harbors,"Burbank, CA",,Senior Level,2025-03-08T15:56:50Z,['excel']
SKE Account Manager,Clean Harbors,"Seattle, WA",,Mid Level,2025-03-08T15:56:40Z,['excel']
Registered Nurse (RN) - Home Health - PRN,Enhabit Home Health & Hospice,"Murfreesboro, TN",Legal Services,Mid Level,2026-05-15T19:32:35Z,['excel']
"Senior Manager, Art Direction – Unpublished R&D Product ",Riot Games,Singapore,,Senior Level,2026-03-26T23:30:25Z,['excel']
"Senior Software Engineer, iOS",DoorDash,"San Francisco, CA",Software Engineering,Senior Level,2026-05-23T19:13:07Z,"['aws', 'excel']"
Wealth Management Client Associate,Bank of America,"Los Angeles, CA",Management,Mid Level,2025-03-13T00:07:08Z,"['aws', 'excel']"
Pediatric Private Duty RN LVN,Thrive Skilled Pediatric Care LLC,"Frisco, TX",,Entry Level,2025-03-09T15:53:18Z,['excel']
Mechanical Technician,SpaceX,"El Segundo, CA",,Mid Level,2026-03-31T23:32:17Z,"['aws', 'excel']"
